iter	Logloss
209	0.3033315105
210	0.3029912806
211	0.302493651
212	0.3019271724
213	0.3015040093
214	0.3011168929
215	0.3005797271
216	0.3001952464
217	0.2996957586
218	0.2991161975
219	0.2988053282
220	0.2982539857
221	0.2978470496
222	0.2975430336
223	0.2973327947
224	0.296887079
225	0.2965989952
226	0.2960618454
227	0.2956412926
228	0.2952568028
229	0.2945778324
230	0.2939039184
231	0.2936657721
232	0.2932725383
233	0.2928406532
234	0.2925904267
235	0.2921950979
236	0.2917629253
237	0.2914903861
238	0.2911696365
239	0.2907132564
240	0.290108733
241	0.2897939225
242	0.2893485023
243	0.2887393535
244	0.2884294152
245	0.2881697721
246	0.2878992029
247	0.2875037946
248	0.2870667361
249	0.2866695284
250	0.2862077536
251	0.2857877785
252	0.2853084644
253	0.2849264266
254	0.2844632279
255	0.2841376005
256	0.2837469213
257	0.2834807699
258	0.2832240855
259	0.2829450816
260	0.2826013862
261	0.2821247811
262	0.2818764829
263	0.2813658243
264	0.2809523373
265	0.280489904
266	0.2801284691
267	0.2799643781
268	0.2796351583
269	0.2793794151
270	0.2791045821
271	0.2788289348
272	0.2785680751
273	0.2781216368
274	0.2776271545
275	0.2773678126
276	0.2771240393
277	0.2768813062
278	0.2764753675
279	0.2762973471
280	0.2758517687
281	0.275401387
282	0.2750021768
283	0.2744747165
284	0.2742827746
285	0.274027421
286	0.2737101003
287	0.2734120502
288	0.2731261242
289	0.2727086821
290	0.2724163662
291	0.2721705845
292	0.2716794586
293	0.2714240652
294	0.2712753934
295	0.2710228026
296	0.2705842346
297	0.2701117097
298	0.2698693124
299	0.2695528162
300	0.2692454276
301	0.2688920415
302	0.2685971446
303	0.2684316154
304	0.2682027973
305	0.2678841439
306	0.2676112711
307	0.2672993074
308	0.2669363138
309	0.2665820067
310	0.266315295
311	0.2661407435
312	0.2658812206
313	0.2655204349
314	0.2651023731
315	0.264711926
316	0.2643736481
317	0.2640561303
318	0.2636087419
319	0.2632230669
320	0.2631150991
321	0.26301657
322	0.2628050455
323	0.2624103841
324	0.2621956382
325	0.26184283
326	0.2618383107
327	0.2614965194
328	0.2612403385
329	0.2609441576
330	0.2605983193
331	0.2604403914
332	0.2597279891
333	0.2593046694
334	0.2590700678
335	0.2587847175
336	0.2584327187
337	0.2580633844
338	0.2577381495
339	0.2572990932
340	0.257052481
341	0.2566832119
342	0.2564441696
343	0.2561847553
344	0.256020641
345	0.2557675354
346	0.2554486149
347	0.2552996362
348	0.2550081268
349	0.2546552796
350	0.2543443802
351	0.2541520295
352	0.2536460566
353	0.25328549
354	0.2530570387
355	0.2528111816
356	0.2524794358
357	0.2521029233
358	0.2518955367
359	0.2516990497
360	0.2514939603
361	0.251269162
362	0.2509235936
363	0.2505849687
364	0.2501974984
365	0.2499505177
366	0.2497893561
367	0.2494573292
368	0.249093948
369	0.2487126203
370	0.2484152468
371	0.2479352698
372	0.2476235866
373	0.2473893593
374	0.2470242789
375	0.2466891431
376	0.2461796802
377	0.2459202954
378	0.2456395833
379	0.2453588435
380	0.2450156982
381	0.2446162035
382	0.2442234921
383	0.2439464565
384	0.2437277967
385	0.2433213758
386	0.2429510647
387	0.2426822069
388	0.2421675996
389	0.2418757506
390	0.2415638956
391	0.2412048767
392	0.240955934
393	0.2402042562
394	0.2398780462
395	0.2395627956
396	0.2390994327
397	0.2387800788
398	0.2384254113
399	0.2381793797
400	0.2378919379
401	0.2376023601
402	0.2372391665
403	0.2368645
404	0.2367202638
405	0.2363356184
406	0.2358873766
407	0.2356871054
408	0.2351875202
409	0.2348405906
410	0.2346764451
411	0.2338904942
412	0.2335476904
413	0.2331034645
414	0.2328320784
415	0.2325346431
416	0.2321929133
417	0.2319591229
418	0.2318011968
419	0.2316293125
420	0.2312721947
421	0.2307939136
422	0.2304216007
423	0.2301831969
424	0.2299566212
425	0.22955215
426	0.2292630489
427	0.2291050539
428	0.2289946189
429	0.2287628715
430	0.228611123
431	0.2282974472
432	0.2280159407
433	0.2278089267
434	0.2273716894
435	0.2271960739
436	0.2269975505
437	0.2268418949
438	0.2265510787
439	0.2264437016
440	0.2263026779
441	0.226050888
442	0.2258025177
443	0.2255749346
444	0.2252179938
445	0.2247009475
446	0.2241913631
447	0.2238907853
448	0.2236048322
449	0.2234672127
450	0.2231611084
451	0.2229699804
452	0.2221596799
453	0.2219513032
454	0.2214340163
455	0.221243309
456	0.2209720257
457	0.2207555224
458	0.2206513911
459	0.2202543077
460	0.2199602834
461	0.2198219812
462	0.2195515549
463	0.2192782098
464	0.2188121214
465	0.2184508353
466	0.21811066
467	0.2177860494
468	0.2173580953
469	0.217180267
470	0.2169259864
471	0.2165714224
472	0.2163118177
473	0.2161727991
474	0.2160306476
475	0.2157786647
476	0.2156387744
477	0.215267058
478	0.2151143181
479	0.214659343
480	0.2143916053
481	0.2141822782
482	0.2137746682
483	0.2133552341
484	0.2131221593
485	0.2128247671
486	0.2125924313
487	0.2124962629
488	0.2123827266
489	0.2122208429
490	0.2119045907
491	0.2116052579
492	0.2114548434
493	0.2112625471
494	0.2111567358
495	0.2109032348
496	0.2107221367
497	0.2106083862
498	0.2103251359
499	0.209647209
500	0.2093787282
501	0.2091507472
502	0.2090065134
503	0.2082819425
504	0.2078846899
505	0.2077731209
506	0.2075091271
507	0.20742108
508	0.2071917565
509	0.206968667
510	0.206527478
511	0.206333098
512	0.2060911869
513	0.2058098247
514	0.2054984882
515	0.2053844045
516	0.2046533811
517	0.2040961325
518	0.2038373903
519	0.2037315274
520	0.2034162379
521	0.2031686612
522	0.2028529353
523	0.2027211452
524	0.2022971875
525	0.2020669189
526	0.2016991354
527	0.2014971356
528	0.2013573422
529	0.2010654416
530	0.2009667685
531	0.2007584861
532	0.200665595
533	0.2005792517
534	0.2001208838
535	0.1999232939
536	0.1997520725
537	0.1995765118
538	0.1989356068
539	0.19869137
540	0.1984398506
541	0.1982645974
542	0.1979232548
543	0.1977664836
544	0.1975028003
545	0.1971588041
546	0.1969927475
547	0.1966649798
548	0.1964804125
549	0.1962555026
550	0.1958604849
551	0.1957315654
552	0.1956082226
553	0.1954214577
554	0.1950712359
555	0.1945046107
556	0.1942422706
557	0.1939292303
558	0.1933127924
559	0.1930619632
560	0.1926725457
561	0.1924400853
562	0.1921297786
563	0.1919050117
564	0.1917408247
565	0.1914760471
566	0.1913000883
567	0.190997517
568	0.1907749407
569	0.1905953231
570	0.1905125219
571	0.1904088684
572	0.1901942919
573	0.1900094663
574	0.1897164999
575	0.1895492807
576	0.1893909658
577	0.1892502061
578	0.1890999899
579	0.1888521361
580	0.1886870062
581	0.1885608281
582	0.1883753811
583	0.1881567656
584	0.1879790452
585	0.1878747311
586	0.187689379
587	0.1874357026
588	0.1871623396
589	0.1867800545
590	0.1862218331
591	0.1860480775
592	0.1857649547
593	0.1855975427
594	0.1850934747
595	0.1849891482
596	0.1847291213
597	0.1841019861
598	0.1835566681
599	0.1832693245
600	0.1827494148
601	0.1822027935
602	0.1816040482
603	0.1811569689
604	0.1807856084
605	0.1805939279
606	0.1802481989
607	0.180093904
608	0.1797715935
609	0.1793050435
610	0.1790223452
611	0.1788752446
612	0.1786812847
613	0.1783456933
614	0.1780767579
615	0.1779316457
616	0.1777757159
617	0.1772510267
618	0.1771742587
619	0.1768721023
620	0.1765898535
621	0.1764387999
622	0.1763405138
623	0.1761554113
624	0.175721187
625	0.1755853716
626	0.1751802467
627	0.1747251199
628	0.1744614904
629	0.1742150699
630	0.1741431805
631	0.1739083178
632	0.1738095063
633	0.1731432746
634	0.1730048226
635	0.1728655059
636	0.1726438234
637	0.1724845938
638	0.1721073186
639	0.1718936521
640	0.1717593193
641	0.1715485568
642	0.1714099742
643	0.1710408361
644	0.1709152786
645	0.1707711267
646	0.1704637655
647	0.1703178074
648	0.170193114
649	0.1701001506
650	0.1695624509
651	0.1692203186
652	0.1689114321
653	0.1687881113
654	0.168439757
655	0.1683697695
656	0.1682524265
657	0.1681321026
658	0.167962361
659	0.1675150825
660	0.1670417086
661	0.1668079424
662	0.1666064858
663	0.1661671007
664	0.1660360563
665	0.1658747271
666	0.1656598493
667	0.1655451363
668	0.1651360308
669	0.1649064583
670	0.1647901751
671	0.1647032048
672	0.1645291392
673	0.1641483903
674	0.1639900396
675	0.1638374363
676	0.1636504562
677	0.1635249908
678	0.1633353226
679	0.1630716555
680	0.1628047544
681	0.1626326693
682	0.1625783821
683	0.1624338588
684	0.1622465992
685	0.1620953972
686	0.1619765866
687	0.1618677729
688	0.1617583872
689	0.1614551184
690	0.1613318262
691	0.1611418379
692	0.160892029
693	0.1605545655
694	0.1603803463
695	0.1600354137
696	0.1598696375
697	0.1596954396
698	0.1595230817
699	0.1594692247
700	0.1593354902
701	0.1592287386
702	0.1589839583
703	0.1588250744
704	0.1586864621
705	0.1584909654
706	0.1583573578
707	0.1580930618
708	0.1576469388
709	0.1574050472
710	0.1572062485
711	0.1570883302
712	0.1569835355
713	0.1564606796
714	0.1561514778
715	0.1560070224
716	0.155870243
717	0.1557124692
718	0.1555523631
719	0.1554006372
720	0.1551467223
721	0.1550376384
722	0.1549203171
723	0.1548410723
724	0.1545556993
725	0.1543798223
726	0.1542287977
727	0.1540824695
728	0.1539528245
729	0.1537106149
730	0.1535444576
731	0.1534641885
732	0.1533085663
733	0.1531282859
734	0.1530422582
735	0.1529166022
736	0.1527550309
737	0.1526122263
738	0.1525348562
739	0.1524101005
740	0.1523495316
741	0.1522102931
742	0.1520719838
743	0.1519739741
744	0.1518510663
745	0.1517548417
746	0.1516809563
747	0.1514844861
748	0.1513741164
749	0.1512722442
750	0.1512007037
751	0.1510529927
752	0.1509745509
753	0.150882518
754	0.1507177938
755	0.150507975
756	0.1503912167
757	0.1502872556
758	0.1501042919
759	0.1499872311
760	0.1497559619
761	0.1497079682
762	0.1495849898
763	0.1494612468
764	0.1493842756
765	0.1492137381
766	0.1491338579
767	0.1488536766
768	0.1485714781
769	0.148467232
770	0.1483335033
771	0.1480975811
772	0.1479806975
773	0.1478360354
774	0.1476993109
775	0.147596618
776	0.1474484788
777	0.1472677331
778	0.1471779426
779	0.1471294935
780	0.1469694354
781	0.146816034
782	0.1465278189
783	0.1463125937
784	0.1461644868
785	0.146046052
786	0.1458788475
787	0.1457661931
788	0.145687228
789	0.1456152999
790	0.1455098472
791	0.1453648998
792	0.1452194848
793	0.1449715977
794	0.1448133687
795	0.1446825715
796	0.1446293356
797	0.1445155523
798	0.1443906429
799	0.1442899803
800	0.144198409
801	0.1441256104
802	0.1440172378
803	0.1437763916
804	0.143646853
805	0.1435654519
806	0.1433337387
807	0.1431180337
808	0.1430044279
809	0.1427939907
810	0.1426743723
811	0.1422893699
812	0.1422056483
813	0.1420793445
814	0.1420156944
815	0.1418373384
816	0.1417534723
817	0.1415888372
818	0.1413886993
819	0.1413257904
820	0.141258186
821	0.141165681
822	0.140939532
823	0.1408305125
824	0.1406795381
825	0.1405634762
826	0.1403022984
827	0.1401927178
828	0.1401033458
829	0.1399841525
830	0.139796093
831	0.1397232967
832	0.1396039805
833	0.1394713667
834	0.1392764905
835	0.1391969211
836	0.1390548983
837	0.1389108427
838	0.1386483661
839	0.1385846432
840	0.1382491609
841	0.1380667416
842	0.1379685291
843	0.1377925858
844	0.1374807424
845	0.1371662651
846	0.1368712366
847	0.1367581732
848	0.1366482617
849	0.1365885553
850	0.1365194511
851	0.136243187
852	0.1361143156
853	0.1359891866
854	0.135921436
855	0.1358482708
856	0.1355890597
857	0.1355246233
858	0.1353956421
859	0.1352589998
860	0.1351160188
861	0.135046197
862	0.1349793703
863	0.134689137
864	0.1345835453
865	0.1344017859
866	0.1342320715
867	0.1339837653
868	0.1338843659
869	0.1337744603
870	0.133662775
871	0.1335663307
872	0.1334926503
873	0.133249366
874	0.1331199783
875	0.1330598729
876	0.1328300169
877	0.1326783309
878	0.1324947205
879	0.1323174472
880	0.1321707842
881	0.1319653735
882	0.1318208422
883	0.1316835212
884	0.131536501
885	0.1314565247
886	0.1313249924
887	0.1312841098
888	0.1312102818
889	0.1311147044
890	0.1310125391
891	0.1309101356
892	0.1305817328
893	0.130426788
894	0.1303358251
895	0.1302580792
896	0.130173025
897	0.1299257959
898	0.1297057945
899	0.129599079
900	0.1294897981
901	0.1293450855
902	0.1292530293
903	0.1291243653
904	0.1289958239
905	0.1288062968
906	0.1287125134
907	0.1285938283
908	0.128483347
909	0.1283555766
910	0.1281880136
911	0.1280879634
912	0.127983976
913	0.1279143644
914	0.1277509745
915	0.1276135529
916	0.1275410736
917	0.1274502373
918	0.1273338657
919	0.1272469502
920	0.1271339181
921	0.1270458058
922	0.1269414223
923	0.1268424393
924	0.1267793589
925	0.1267195064
926	0.1266029758
927	0.126499669
928	0.1263268526
929	0.1262384719
930	0.126158921
931	0.1260355905
932	0.1258280095
933	0.1257606655
934	0.1254631609
935	0.1252974094
936	0.1252182575
937	0.1250341288
938	0.1249578634
939	0.1248329467
940	0.1247613514
941	0.1246613018
942	0.1246083833
943	0.1244699617
944	0.1243675794
945	0.1242146947
946	0.1239813772
947	0.1238921733
948	0.1237823801
949	0.1236377131
950	0.1235485856
951	0.1234681079
952	0.1233615598
953	0.1232679876
954	0.1231690024
955	0.1230685558
956	0.1229897226
957	0.122754477
958	0.1226904406
959	0.122629967
960	0.1225426932
961	0.1224976348
962	0.1223991456
963	0.1222974978
964	0.1222156225
965	0.1221808796
966	0.1220588904
967	0.1219371129
968	0.1218286091
969	0.1217132369
970	0.1216315012
971	0.1214231764
972	0.1213186927
973	0.1212018316
974	0.1210062477
975	0.1209324514
976	0.12083533
977	0.1206667723
978	0.1206004618
979	0.1204512547
980	0.1203504554
981	0.1202579662
982	0.1202059092
983	0.1199471869
984	0.1198518322
985	0.1198052798
986	0.1196596197
987	0.1195714637
988	0.1193967692
989	0.1193324142
990	0.1192923099
991	0.1191998719
992	0.1191132092
993	0.1189905632
994	0.1189005651
995	0.1188050536
996	0.1187449187
997	0.1186860723
998	0.118623831
999	0.1184235961
